*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  MAR 13, 2025 05:16:48

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
!               |------ Daily (g/ha) -----|--- Cumulative (kg/ha) ---|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!                    CO2      N2O      CH4      CO2      N2O      CH4      CO2      N2O      CH4    Total
!                g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   N2OGED   CH4GED    CO2EC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
 2022 213    93     4905     0.61     0.00      399     0.03     0.00     1465       12        0     1477
 2022 214    94     5008     0.58     0.00      404     0.03     0.00     1483       12        0     1496
 2022 215    95     5383     0.56     0.00      410     0.03     0.00     1503       12        0     1516
 2022 216    96     5413     0.55     0.00      415     0.03     0.00     1523       13        0     1536
 2022 217    97     5372     0.55     0.00      420     0.03     0.00     1543       13        0     1556
 2022 218    98     5350     0.54     0.00      426     0.03     0.00     1562       13        0     1576
 2022 219    99     5173     0.53     0.00      431     0.03     0.00     1581       13        0     1595
 2022 220   100     4764     0.51     0.00      436     0.03     0.00     1599       14        0     1613
 2022 221   101     4383     0.51     0.00      440     0.03     0.00     1615       14        0     1629
 2022 222   102     4262     0.50     0.00      444     0.03     0.00     1631       14        0     1645
 2022 223   103     4002     0.50     0.00      448     0.03     0.00     1645       14        0     1660
 2022 224   104     3903     0.49     0.00      452     0.03     0.00     1660       15        0     1674
 2022 225   105     4151     0.48     0.00      456     0.03     0.00     1675       15        0     1690
 2022 226   106     4273     0.47     0.00      461     0.03     0.00     1691       15        0     1706
 2022 227   107     4230     0.46     0.00      465     0.03     0.00     1706       15        0     1721
 2022 228   108     4904     0.26     0.00      470     0.03     0.00     1724       15        0     1740
 2022 229   109     4756     0.37     0.00      475     0.03     0.00     1742       16        0     1757
 2022 230   110     4396     0.47     0.00      479     0.03     0.00     1758       16        0     1773
 2022 231   111     4185     0.46     0.00      483     0.03     0.00     1773       16        0     1789
 2022 232   112     3846     0.45     0.00      487     0.03     0.00     1787       16        0     1803
 2022 233   113     3544     0.45     0.00      491     0.04     0.00     1800       16        0     1817
 2022 234   114     3596     0.44     0.00      494     0.04     0.00     1813       17        0     1830
 2022 235   115     3585     0.44     0.00      498     0.04     0.00     1826       17        0     1843
 2022 236   116     3524     0.43     0.00      501     0.04     0.00     1839       17        0     1857
 2022 237   117     3571     0.42     0.00      505     0.04     0.00     1853       17        0     1870
 2022 238   118     3778     0.42     0.00      509     0.04     0.00     1866       17        0     1884
 2022 239   119     3865     0.41     0.00      512     0.04     0.00     1881       18        0     1898
 2022 240   120     3932     0.41     0.00      516     0.04     0.00     1895       18        0     1913
 2022 241   121     3965     0.40     0.00      520     0.04     0.00     1910       18        0     1928
 2022 242   122     3862     0.40     0.00      524     0.04     0.00     1924       18        0     1942
 2022 243   123     3665     0.39     0.00      528     0.04     0.00     1937       18        0     1956
 2022 244   124     3752     0.37     0.00      532     0.04     0.00     1951       19        0     1970
 2022 245   125     3592     0.37     0.00      535     0.04     0.00     1964       19        0     1983
 2022 246   126     3516     0.37     0.00      539     0.04     0.00     1977       19        0     1996
 2022 247   127     3417     0.37     0.00      542     0.04     0.00     1990       19        0     2009
 2022 248   128     3306     0.37     0.00      545     0.04     0.00     2002       19        0     2021
 2022 249   129     3230     0.36     0.00      549     0.04     0.00     2014       19        0     2033
 2022 250   130     3273     0.36     0.00      552     0.04     0.00     2026       20        0     2045
 2022 251   131     3181     0.36     0.00      555     0.04     0.00     2037       20        0     2057
 2022 252   132     3371     0.35     0.00      558     0.04     0.00     2050       20        0     2070
