*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  NOV 03, 2024 05:23:59

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
!               |------ Daily (g/ha) -----|--- Cumulative (kg/ha) ---|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!                    CO2      N2O      CH4      CO2      N2O      CH4      CO2      N2O      CH4    Total
!                g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   N2OGED   CH4GED    CO2EC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
 2022 224   104     4379     0.54     0.00      475     0.03     0.00     1742       16        0     1757
 2022 225   105     4665     0.54     0.00      479     0.03     0.00     1759       16        0     1775
 2022 226   106     4812     0.53     0.00      484     0.03     0.00     1777       16        0     1793
 2022 227   107     4812     0.52     0.00      489     0.03     0.00     1794       16        0     1811
 2022 228   108     5377     0.29     0.00      494     0.04     0.00     1814       16        0     1830
 2022 229   109     5182     0.41     0.00      499     0.04     0.00     1833       17        0     1850
 2022 230   110     4807     0.54     0.00      504     0.04     0.00     1851       17        0     1867
 2022 231   111     4589     0.52     0.00      509     0.04     0.00     1867       17        0     1885
 2022 232   112     4250     0.51     0.00      513     0.04     0.00     1883       17        0     1900
 2022 233   113     3930     0.50     0.00      517     0.04     0.00     1897       18        0     1915
 2022 234   114     4007     0.50     0.00      521     0.04     0.00     1912       18        0     1930
 2022 235   115     4004     0.49     0.00      525     0.04     0.00     1927       18        0     1945
 2022 236   116     3946     0.48     0.00      529     0.04     0.00     1941       18        0     1960
 2022 237   117     4011     0.47     0.00      533     0.04     0.00     1956       19        0     1975
 2022 238   118     4258     0.47     0.00      537     0.04     0.00     1972       19        0     1990
 2022 239   119     4366     0.46     0.00      542     0.04     0.00     1988       19        0     2007
 2022 240   120     4456     0.45     0.00      546     0.04     0.00     2004       19        0     2023
 2022 241   121     4506     0.45     0.00      551     0.04     0.00     2021       19        0     2040
 2022 242   122     4397     0.44     0.00      555     0.04     0.00     2037       20        0     2056
 2022 243   123     4179     0.44     0.00      559     0.04     0.00     2052       20        0     2072
 2022 244   124     4245     0.41     0.00      563     0.04     0.00     2068       20        0     2088
 2022 245   125     4069     0.41     0.00      567     0.04     0.00     2083       20        0     2103
 2022 246   126     3992     0.42     0.00      571     0.04     0.00     2097       20        0     2118
 2022 247   127     3886     0.41     0.00      575     0.04     0.00     2112       21        0     2132
 2022 248   128     3798     0.41     0.00      579     0.04     0.00     2125       21        0     2146
 2022 249   129     3687     0.41     0.00      583     0.04     0.00     2139       21        0     2160
 2022 250   130     3745     0.40     0.00      587     0.05     0.00     2153       21        0     2174
 2022 251   131     3645     0.40     0.00      590     0.05     0.00     2166       21        0     2187
 2022 252   132     3877     0.40     0.00      594     0.05     0.00     2180       22        0     2202
 2022 253   133     3763     0.39     0.00      598     0.05     0.00     2194       22        0     2216
 2022 254   134     3871     0.35     0.00      602     0.05     0.00     2208       22        0     2230
 2022 255   135     3412     0.36     0.00      605     0.05     0.00     2221       22        0     2243
 2022 256   136     3182     0.37     0.00      608     0.05     0.00     2233       22        0     2255
 2022 257   137     2848     0.37     0.00      611     0.05     0.00     2243       22        0     2265
 2022 258   138     3150     0.38     0.00      614     0.05     0.00     2255       23        0     2277
 2022 259   139     3497     0.37     0.00      618     0.05     0.00     2267       23        0     2290
 2022 260   140     4313     0.10     0.00      622     0.05     0.00     2283       23        0     2306
 2022 261   141     4683     0.30     0.00      627     0.05     0.00     2300       23        0     2323
 2022 262   142     4689     0.44     0.00      632     0.05     0.00     2318       23        0     2341
 2022 263   143     4542     0.43     0.00      636     0.05     0.00     2334       23        0     2358
