*SOIL INORGANIC N BALANCE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 04, 2025 15:50:50

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
!               |------------------- STATE VARIABLES -------------------|---- ADDED ---|----------------------------- REMOVED TODAY --------------------------|    DAILY     CUMUL
@YEAR DOY  DAS     NO3     NH4   TUREA   TNGAS  FLOODN  ALGFIX  UNFERT   AFERT  AMINER  RIMMOB    RLCH    RLTD    RNUP    RNRO    RAML   N2OED    N2ED    NOED      DBAL      CBAL
 2023 154   45  18.181   1.889   0.000   0.082   0.000   0.000   0.000     0.0  0.4021  0.0000  0.0254  0.0000  0.4206  0.0000  0.0000  0.0002  0.0011  0.0003   -0.0000   -0.0000
 2023 155   46  17.579   1.936   0.000   0.085   0.000   0.000   0.000     0.0  0.3862  0.0000  0.6800  0.0000  0.2581  0.0000  0.0000  0.0000  0.0002  0.0001    0.0000   -0.0000
 2023 156   47  17.884   1.938   0.000   0.086   0.000   0.000   0.000     0.0  0.3811  0.0000  0.0290  0.0000  0.0430  0.0000  0.0000  0.0001  0.0007  0.0002    0.0000   -0.0000
 2023 157   48  17.876   1.935   0.000   0.088   0.000   0.000   0.000     0.0  0.3843  0.0000  0.2215  0.0000  0.1708  0.0000  0.0000  0.0002  0.0008  0.0002   -0.0000   -0.0000
 2023 158   49  17.864   1.922   0.000   0.088   0.000   0.000   0.000     0.0  0.3874  0.0000  0.0438  0.0000  0.3673  0.0000  0.0000  0.0002  0.0011  0.0003    0.0000    0.0000
 2023 159   50  17.663   1.902   0.000   0.088   0.000   0.000   0.000     0.0  0.3964  0.0000  0.0000  0.0000  0.6151  0.0000  0.0000  0.0002  0.0012  0.0004   -0.0000   -0.0000
 2023 160   51  17.457   1.878   0.000   0.088   0.000   0.000   0.000     0.0  0.4177  0.0000  0.0000  0.0000  0.6462  0.0000  0.0000  0.0003  0.0012  0.0004    0.0000    0.0000
 2023 161   52  17.572   1.858   0.000   0.088   0.000   0.000   0.000     0.0  0.4412  0.0000  0.0000  0.0000  0.3434  0.0000  0.0000  0.0003  0.0012  0.0004   -0.0000   -0.0000
 2023 162   53  17.714   1.845   0.000   0.088   0.000   0.000   0.000     0.0  0.4406  0.0000  0.0000  0.0000  0.3102  0.0000  0.0000  0.0003  0.0013  0.0005   -0.0000   -0.0000
 2023 163   54  17.592   1.835   0.000   0.088   0.000   0.000   0.000     0.0  0.4250  0.0000  0.0000  0.0000  0.5551  0.0000  0.0000  0.0003  0.0013  0.0005    0.0000   -0.0000
 2023 164   55  17.158   1.827   0.000   0.088   0.000   0.000   0.000     0.0  0.3897  0.0000  0.0000  0.0000  0.8303  0.0000  0.0000  0.0003  0.0013  0.0005    0.0000   -0.0000
 2023 165   56  16.489   1.817   0.000   0.087   0.000   0.000   0.000     0.0  0.3564  0.0000  0.0000  0.0000  1.0333  0.0000  0.0000  0.0003  0.0013  0.0005    0.0000    0.0000
 2023 166   57  15.738   1.803   0.000   0.087   0.000   0.000   0.000     0.0  0.3260  0.0000  0.0000  0.0000  1.0894  0.0000  0.0000  0.0003  0.0013  0.0005   -0.0000   -0.0000
