*SOIL INORGANIC N BALANCE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  SEP 04, 2025 19:39:05

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
!               |------------------- STATE VARIABLES -------------------|---- ADDED ---|----------------------------- REMOVED TODAY --------------------------|    DAILY     CUMUL
@YEAR DOY  DAS     NO3     NH4   TUREA   TNGAS  FLOODN  ALGFIX  UNFERT   AFERT  AMINER  RIMMOB    RLCH    RLTD    RNUP    RNRO    RAML   N2OED    N2ED    NOED      DBAL      CBAL
 2020 214  105  17.606   1.807   0.000   0.058   0.000   0.000   0.000     0.0  0.5069  0.0000  0.0000  0.0000  0.3939  0.0000  0.0000  0.0004  0.0001  0.0008   -0.0000   -0.0000
 2020 215  106  17.664   1.820   0.000   0.058   0.000   0.000   0.000     0.0  0.5063  0.0000  0.0000  0.0000  0.4327  0.0000  0.0000  0.0005  0.0001  0.0010   -0.0000   -0.0000
 2020 216  107  17.660   1.830   0.000   0.057   0.000   0.000   0.000     0.0  0.4765  0.0000  0.0000  0.0000  0.4695  0.0000  0.0000  0.0005  0.0001  0.0010    0.0000   -0.0000
 2020 217  108  17.647   1.836   0.000   0.057   0.000   0.000   0.000     0.0  0.4441  0.0000  0.0000  0.0000  0.4495  0.0000  0.0000  0.0005  0.0001  0.0011   -0.0000   -0.0000
 2020 218  109  17.669   1.832   0.000   0.057   0.000   0.000   0.000     0.0  0.4444  0.0000  0.0000  0.0000  0.4259  0.0000  0.0000  0.0005  0.0001  0.0010    0.0000   -0.0000
 2020 219  110  17.698   1.825   0.000   0.057   0.000   0.000   0.000     0.0  0.4578  0.0000  0.0000  0.0000  0.4340  0.0000  0.0000  0.0005  0.0001  0.0010   -0.0000   -0.0000
 2020 220  111  17.720   1.820   0.000   0.057   0.000   0.000   0.000     0.0  0.4651  0.0000  0.0000  0.0000  0.4459  0.0000  0.0000  0.0005  0.0001  0.0010    0.0000   -0.0000
 2020 221  112  17.798   1.811   0.000   0.057   0.000   0.000   0.000     0.0  0.5168  0.0000  0.0000  0.0000  0.4473  0.0000  0.0000  0.0005  0.0001  0.0010   -0.0000   -0.0000
 2020 222  113  17.874   1.796   0.000   0.057   0.000   0.000   0.000     0.0  0.5546  0.0000  0.0000  0.0000  0.4905  0.0000  0.0000  0.0005  0.0001  0.0011    0.0000   -0.0000
 2020 223  114  17.951   1.779   0.000   0.057   0.000   0.000   0.000     0.0  0.5848  0.0000  0.0000  0.0000  0.5230  0.0000  0.0000  0.0005  0.0001  0.0011    0.0000   -0.0000
 2020 224  115  18.000   1.769   0.000   0.057   0.000   0.000   0.000     0.0  0.5871  0.0000  0.0000  0.0000  0.5471  0.0000  0.0000  0.0005  0.0001  0.0011   -0.0000   -0.0000
 2020 225  116  18.054   1.762   0.000   0.058   0.000   0.000   0.000     0.0  0.5903  0.0000  0.0000  0.0000  0.5403  0.0000  0.0000  0.0005  0.0001  0.0011   -0.0000   -0.0000
 2020 226  117  18.094   1.763   0.000   0.058   0.000   0.000   0.000     0.0  0.5800  0.0000  0.0000  0.0000  0.5379  0.0000  0.0000  0.0005  0.0001  0.0011   -0.0000   -0.0000
 2020 227  118  18.166   1.760   0.000   0.058   0.000   0.000   0.000     0.0  0.5937  0.0000  0.0000  0.0000  0.5226  0.0000  0.0000  0.0005  0.0001  0.0011   -0.0000   -0.0000
 2020 228  119  18.206   1.763   0.000   0.058   0.000   0.000   0.000     0.0  0.5798  0.0000  0.0000  0.0000  0.5350  0.0000  0.0000  0.0005  0.0001  0.0011   -0.0000   -0.0000
 2020 229  120  18.248   1.770   0.000   0.058   0.000   0.000   0.000     0.0  0.5680  0.0000  0.0000  0.0000  0.5176  0.0000  0.0000  0.0005  0.0000  0.0011    0.0000   -0.0000
 2020 230  121  18.313   1.773   0.000   0.059   0.000   0.000   0.000     0.0  0.5754  0.0000  0.0000  0.0000  0.5047  0.0000  0.0000  0.0005  0.0000  0.0011    0.0000   -0.0000
 2020 231  122  18.348   1.781   0.000   0.059   0.000   0.000   0.000     0.0  0.5563  0.0000  0.0000  0.0000  0.5123  0.0000  0.0000  0.0005  0.0000  0.0011    0.0000   -0.0000
 2020 232  123  18.400   1.788   0.000   0.059   0.000   0.000   0.000     0.0  0.5527  0.0000  0.0000  0.0000  0.4925  0.0000  0.0000  0.0005  0.0000  0.0011   -0.0000   -0.0000
 2020 233  124  18.478   1.789   0.000   0.059   0.000   0.000   0.000     0.0  0.5708  0.0000  0.0000  0.0000  0.4895  0.0000  0.0000  0.0005  0.0000  0.0011    0.0000   -0.0000
 2020 234  125  18.581   1.781   0.000   0.059   0.000   0.000   0.000     0.0  0.6047  0.0000  0.0000  0.0000  0.5078  0.0000  0.0000  0.0005  0.0000  0.0011   -0.0000   -0.0000
 2020 235  126  18.653   1.774   0.000   0.059   0.000   0.000   0.000     0.0  0.6096  0.0000  0.0000  0.0000  0.5423  0.0000  0.0000  0.0005  0.0000  0.0011    0.0000   -0.0000
