*SOIL INORGANIC N BALANCE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  FEB 28, 2025 20:34:02

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
!               |------------------- STATE VARIABLES -------------------|---- ADDED ---|----------------------------- REMOVED TODAY --------------------------|    DAILY     CUMUL
@YEAR DOY  DAS     NO3     NH4   TUREA   TNGAS  FLOODN  ALGFIX  UNFERT   AFERT  AMINER  RIMMOB    RLCH    RLTD    RNUP    RNRO    RAML   N2OED    N2ED    NOED      DBAL      CBAL
 2022 159   39   5.817   1.915   0.000   0.036   0.000   0.000   0.000     0.0  0.4456  0.0000  0.0000  0.0000  0.3621  0.0000  0.0000  0.0001  0.0000  0.0005    0.0000   -0.0000
 2022 160   40   5.920   1.942   0.000   0.037   0.000   0.000   0.000     0.0  0.4558  0.0000  0.0000  0.0000  0.3219  0.0000  0.0000  0.0002  0.0000  0.0012    0.0000   -0.0000
 2022 161   41   6.042   1.965   0.000   0.038   0.000   0.000   0.000     0.0  0.4552  0.0000  0.0000  0.0000  0.3070  0.0000  0.0000  0.0003  0.0000  0.0016   -0.0000   -0.0000
 2022 162   42   6.222   1.984   0.000   0.040   0.000   0.000   0.000     0.0  0.4581  0.0000  0.0000  0.0000  0.2562  0.0000  0.0000  0.0003  0.0000  0.0016    0.0000   -0.0000
 2022 163   43   6.453   2.004   0.000   0.041   0.000   0.000   0.000     0.0  0.4840  0.0000  0.0000  0.0000  0.2301  0.0000  0.0000  0.0003  0.0000  0.0016   -0.0000   -0.0000
 2022 164   44   6.690   2.022   0.000   0.043   0.000   0.000   0.000     0.0  0.5390  0.0000  0.0000  0.0000  0.2799  0.0000  0.0000  0.0003  0.0000  0.0016    0.0000   -0.0000
 2022 165   45   6.942   2.028   0.000   0.045   0.000   0.000   0.000     0.0  0.6134  0.0000  0.0000  0.0000  0.3512  0.0000  0.0000  0.0003  0.0000  0.0017    0.0000   -0.0000
 2022 166   46   7.143   2.028   0.000   0.047   0.000   0.000   0.000     0.0  0.6221  0.0000  0.0000  0.0000  0.4166  0.0000  0.0000  0.0003  0.0000  0.0018   -0.0000   -0.0000
 2022 167   47   7.335   2.028   0.000   0.049   0.000   0.000   0.000     0.0  0.6154  0.0000  0.0000  0.0000  0.4192  0.0000  0.0000  0.0003  0.0000  0.0018    0.0000   -0.0000
 2022 168   48   7.508   2.033   0.000   0.051   0.000   0.000   0.000     0.0  0.5767  0.0000  0.0000  0.0000  0.3951  0.0000  0.0000  0.0003  0.0000  0.0019   -0.0000   -0.0000
 2022 169   49   7.724   2.033   0.000   0.053   0.000   0.000   0.000     0.0  0.5779  0.0000  0.0000  0.0000  0.3577  0.0000  0.0000  0.0003  0.0000  0.0019    0.0000   -0.0000
 2022 170   50   7.984   2.033   0.000   0.055   0.000   0.000   0.000     0.0  0.5601  0.0000  0.0000  0.0000  0.2964  0.0000  0.0000  0.0003  0.0000  0.0020   -0.0000   -0.0000
 2022 171   51   8.259   2.022   0.000   0.057   0.000   0.000   0.000     0.0  0.5805  0.0000  0.0000  0.0000  0.3109  0.0000  0.0000  0.0004  0.0000  0.0020    0.0000   -0.0000
 2022 172   52   8.547   2.002   0.000   0.059   0.000   0.000   0.000     0.0  0.6077  0.0000  0.0000  0.0000  0.3361  0.0000  0.0000  0.0004  0.0000  0.0021   -0.0000   -0.0000
 2022 173   53   8.776   1.990   0.000   0.061   0.000   0.000   0.000     0.0  0.5889  0.0000  0.0000  0.0000  0.3676  0.0000  0.0000  0.0004  0.0000  0.0021    0.0000   -0.0000
 2022 174   54   8.932   1.994   0.000   0.062   0.000   0.000   0.000     0.0  0.5308  0.0000  0.0000  0.0000  0.3666  0.0000  0.0000  0.0004  0.0000  0.0022   -0.0000   -0.0000
