*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 04, 2025 03:01:04

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2023 181    72    59   75.8    0.0   75.8   0.00   2.89   94.5   59.1   16.7    2.9   2.89   1.08    0.00    1.29
 2023 182    73    60   80.1    0.0   80.1   0.00   2.86  100.5   61.4   18.7    2.9   2.86   1.12    0.00    1.39
 2023 183    74    61   85.7    0.0   85.7   0.00   2.83  107.9   64.4   21.4    2.8   2.83   1.14    0.00    1.49
 2023 184    75    62   96.9    0.0   96.9   0.00   2.80  118.1   70.5   26.4    2.8   2.80   1.08    0.00    1.61
 2023 185    76    63  103.2    0.0  103.2   0.00   2.70  124.5   72.5   30.7    2.7   2.70   1.08    0.00    1.71
 2023 186    77    64  105.8    0.0  105.8   0.00   2.68  127.2   73.5   32.4    2.7   2.68   1.07    0.00    1.82
 2023 187    78    65  107.0    0.0  107.0   0.00   2.62  128.4   73.2   33.8    2.6   2.62   1.07    0.00    1.93
 2023 188    79    66  107.6    0.0  107.6   0.00   2.44  129.1   71.2   36.3    2.4   2.44   1.05    0.00    2.03
 2023 189    80    67  108.0    0.0  108.0   0.00   2.36  129.6   70.3   37.6    2.4   2.36   1.04    0.00    2.14
 2023 190    81    68  108.2    0.0  108.2   0.00   2.26  129.9   69.0   39.2    2.3   2.26   0.98    0.00    2.25
 2023 191    82    69  108.5    0.0  108.5   0.00   2.12  130.4   67.1   41.4    2.1   2.12   0.96    0.00    2.35
 2023 192    83    70  108.7    0.0  108.7   0.00   2.01  130.7   65.6   43.2    2.0   2.01   0.94    0.00    2.46
 2023 193    84    71  109.1    0.0  109.1   0.00   1.93  131.2   64.4   44.7    1.9   1.93   0.91    0.00    2.57
 2023 194    85    72  109.6    0.0  109.6   0.00   1.87  131.9   63.5   46.1    1.9   1.87   0.91    0.00    2.67
 2023 195    86    73  110.0    0.0  110.0   0.00   1.82  132.4   62.9   47.1    1.8   1.82   0.89    0.00    2.78
 2023 196    87    74  110.2    0.0  110.2   0.00   1.78  132.7   62.5   47.7    1.8   1.78   0.86    0.00    2.89
 2023 197    88    75  110.6    0.0  110.6   0.00   1.74  133.2   62.1   48.5    1.7   1.74   0.85    0.00    2.99
 2023 198    89    76  111.0    0.0  111.0   0.00   1.72  133.8   62.1   48.9    1.7   1.72   0.82    0.00    3.10
 2023 199    90    77  111.5    0.0  111.5   0.00   1.69  134.4   62.0   49.4    1.7   1.69   0.81    0.00    3.21
 2023 200    91    78  111.9    0.0  111.9   0.00   1.67  135.0   61.9   50.0    1.7   1.67   0.82    0.00    3.32
 2023 201    92    79  126.1    0.0  126.1   0.00   1.86  151.4   69.5   56.6    1.9   1.86   0.89    0.00    3.42
 2023 202    93    80  133.2    0.0  133.2   0.00   1.93  160.1   73.1   60.2    1.9   1.93   0.91    0.00    3.54
 2023 203    94    81  137.1    0.0  137.1   0.00   1.94  164.9   74.7   62.4    1.9   1.94   0.92    0.00    3.67
 2023 204    95    82  139.2    0.0  139.2   0.00   1.92  167.6   75.4   63.9    1.9   1.92   0.91    0.00    3.80
 2023 205    96    83  140.7    0.0  140.7   0.00   1.90  169.5   74.0   66.7    1.9   1.90   0.92    0.00    3.93
 2023 206    97    84  141.7    0.0  141.7   0.00   1.89  170.7   72.7   69.0    1.9   1.89   0.92    0.00    4.06
 2023 207    98    85  142.4    0.0  142.4   0.00   1.89  171.7   71.5   71.0    1.9   1.89   0.92    0.00    4.20
 2023 208    99    86  143.1    0.0  143.1   0.00   1.88  172.6   70.2   72.9    1.9   1.88   0.93    0.00    4.33
 2023 209   100    87  143.8    0.0  143.8   0.00   1.88  173.6   69.1   74.7    1.9   1.88   0.93    0.00    4.46
 2023 210   101    88  144.4    0.0  144.4   0.00   1.88  174.5   68.0   76.4    1.9   1.88   0.93    0.00    4.60
 2023 211   102    89  144.9    0.0  144.9   0.00   1.89  175.2   66.9   78.0    1.9   1.89   0.94    0.00    4.74
 2023 212   103    90  145.3    0.0  145.3   0.00   1.89  176.0   65.9   79.5    1.9   1.89   0.94    0.00    4.87
 2023 213   104    91  145.6    0.0  145.6   0.00   1.90  176.6   64.8   80.8    1.9   1.90   0.95    0.00    5.01
 2023 214   105    92  153.8    6.0  147.8   1.72   1.93  188.1   65.8   82.1    1.9   1.93   1.06    0.00    5.15
 2023 215   106    93  158.6   11.9  146.7   1.71   1.92  193.0   65.3   81.4    1.9   1.92   1.06    0.00    5.30
 2023 216   107    94  163.0   17.8  145.2   1.71   1.90  197.9   64.6   80.6    1.9   1.90   1.07    0.00    5.46
 2023 217   108    95  166.6   23.7  142.9   1.70   1.87  201.7   63.6   79.3    1.9   1.87   1.07    0.00    5.62
 2023 218   109    96  169.5   29.6  139.9   1.70   1.83  204.5   62.2   77.6    1.8   1.83   1.07    0.00    5.77
 2023 219   110    97  171.1   35.5  135.6   1.70   1.80  206.1   61.4   74.2    1.8   1.80   1.07    0.00    5.93
 2023 220   111    98  171.8   41.4  130.3   1.70   1.74  206.9   59.0   71.3    1.7   1.74   1.07    0.00    6.08
 2023 221   112    99  181.0   47.3  133.7   1.70   1.77  216.4   60.3   73.4    1.8   1.77   1.07    0.00    6.24
 2023 222   113   100  185.7   53.2  132.4   1.70   1.75  221.1   59.5   72.9    1.7   1.75   1.07    0.00    6.39
 2023 223   114   101  190.1   59.1  130.9   1.70   1.72  225.8   58.4   72.5    1.7   1.72   1.07    0.00    6.54
 2023 224   115   102  193.0   65.1  127.9   1.70   1.68  228.7   57.2   70.7    1.7   1.68   1.07    0.00    6.70
 2023 225   116   103  194.7   71.0  123.8   1.70   1.64  230.4   55.8   67.9    1.6   1.64   1.07    0.00    6.85
 2023 226   117   104  195.8   76.9  118.9   1.70   1.57  231.6   53.3   65.6    1.6   1.57   1.07    0.00    7.01
 2023 227   118   105  196.5   82.8  113.7   1.70   1.49  232.5   50.7   63.0    1.5   1.49   1.06    0.00    7.16
 2023 228   119   106  197.0   88.6  108.5   1.70   1.42  233.2   48.3   60.2    1.4   1.42   1.06    0.00    7.31
 2023 229   120   107  197.6   94.0  103.6   1.69   1.35  233.9   46.1   57.5    1.4   1.35   1.06    0.00    7.47
 2023 230   121   108  198.0   99.4   98.6   1.68   1.29  234.4   43.9   54.7    1.3   1.29   1.07    0.00    7.62
 2023 231   122   109  198.5  104.3   94.2   1.67   1.23  235.0   41.9   52.3    1.2   1.23   1.06    0.00    7.77
 2023 232   123   110  199.1  109.3   89.8   1.66   1.18  235.8   40.0   49.7    1.2   1.18   1.07    0.00    7.92
 2023 233   124   111  199.8  112.3   87.5   1.66   1.14  236.6   38.9   48.5    1.1   1.14   1.06    0.00    8.08
 2023 234   125   112  200.2  114.9   85.3   1.65   1.12  237.2   37.9   47.3    1.1   1.12   1.05    0.00    8.23
 2023 235   126   113  200.8  118.1   82.7   1.64   1.08  238.0   36.8   45.9    1.1   1.08   1.05    0.00    8.38
 2023 236   127   114  201.5  121.8   79.7   1.64   1.04  238.8   35.5   44.2    1.0   1.04   1.05    0.00    8.53
 2023 237   128   115  202.3  126.4   75.9   1.62   1.01  239.7   34.3   41.6    1.0   1.01   1.05    0.00    8.69
 2023 238   129   116  202.9  130.6   72.3   1.60   0.96  240.5   32.7   39.5    1.0   0.96   1.06    0.00    8.84
 2023 239   130   117  203.5  134.8   68.7   1.59   0.92  241.2   31.2   37.5    0.9   0.92   1.06    0.00    8.99
 2023 240   131   118  204.0  138.8   65.2   1.57   0.88  241.8   30.0   35.2    0.9   0.88   1.06    0.00    9.15
 2023 241   132   119  204.4  142.5   61.9   1.55   0.84  242.4   28.7   33.2    0.8   0.84   1.07    0.00    9.30
 2023 242   133   120  204.8  146.1   58.6   1.53   0.81  242.9   27.4   31.2    0.8   0.81   1.07    0.00    9.45
 2023 243   134   121  205.2  149.6   55.5   1.51   0.77  243.4   26.2   29.3    0.8   0.77   1.08    0.00    9.60
 2023 244   135   122  205.3  152.4   52.9   1.50   0.74  243.7   25.1   27.8    0.7   0.74   1.08    0.00    9.75
 2023 245   136   123  205.7  155.4   50.3   1.48   0.71  244.2   24.1   26.3    0.7   0.71   1.09    0.00    9.91
 2023 246   137   124  206.3  158.5   47.8   1.46   0.69  244.9   23.3   24.5    0.7   0.69   1.09    0.00   10.06
 2023 247   138   125  206.9  161.4   45.5   1.44   0.67  245.6   22.7   22.9    0.7   0.67   1.10    0.00   10.21
 2023 248   139   126  207.6  163.7   43.9   1.43   0.66  246.4   22.3   21.6    0.7   0.66   1.10    0.00   10.36
 2023 249   140   127  207.9  166.4   41.5   1.41   0.64  246.8   21.7   19.8    0.6   0.64   1.10    0.00   10.51
 2023 250   141   128  208.2  168.9   39.3   1.39   0.62  247.3   21.1   18.2    0.6   0.62   1.11    0.00   10.66
 2023 251   142   129  208.6  170.0   38.6   1.38   0.62  247.8   21.1   17.5    0.6   0.62   1.11    0.00   10.82
