*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 04, 2025 03:03:53

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
@YEAR DOY   DAS   SRAA  TMAXA  TMINA    REFA    EOAA    EOPA    EOSA    ETAA    EPAA    ESAA    EFAA    EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    KCAA    KBSA    KEAA
 2023 123    14  24.90  25.60   1.90   1.811   2.183   0.000   2.183   0.246   0.000   0.246   0.000   0.000   25.40    3.97    0.00    2.22    0.00    1.75   0.136   0.000   0.136 
 2023 124    15  24.30  27.60   9.50   2.220   2.677   0.000   2.677   0.302   0.000   0.302   0.000   0.000   28.07    4.27    0.00    2.52    0.00    1.75   0.136   0.000   0.136 
 2023 125    16  26.00  25.10  11.20   2.420   2.910   0.000   2.910   2.582   0.000   0.000   0.000   2.582   30.98    6.86    0.00    2.52    0.00    4.33   1.067   0.000   1.067 
 2023 126    17  24.50  22.30   8.50   2.164   2.603   0.000   2.603   0.741   0.000   0.000   0.000   0.741   33.59    7.60    0.00    2.52    0.00    5.07   0.342   0.000   0.342 
 2023 127    18  19.00  23.90   9.50   1.917   2.306   0.000   2.306   0.373   0.000   0.000   0.000   0.373   35.89    7.97    0.00    2.52    0.00    5.45   0.194   0.000   0.194 
 2023 128    19  27.10  24.70   8.10   2.309   2.783   0.000   2.783   0.314   0.000   0.012   0.000   0.302   38.68    8.28    0.00    2.54    0.00    5.75   0.136   0.000   0.136 
 2023 129    20  22.40  22.10  13.40   2.291   2.745   0.000   2.745   0.309   0.000   0.251   0.000   0.058   41.42    8.59    0.00    2.79    0.00    5.81   0.135   0.000   0.135 
 2023 130    21  14.90  21.30  12.00   1.743   2.086   0.000   2.086   1.851   0.000   0.000   0.000   1.851   43.51   10.44    0.00    2.79    0.00    7.66   1.062   0.000   1.062 
 2023 131    22  16.90  22.70  11.20   1.873   2.247   0.000   2.247   1.379   0.000   0.000   0.000   1.379   45.75   11.82    0.00    2.79    0.00    9.04   0.736   0.000   0.736 
 2023 132    23  12.40  17.70  11.40   2.154   2.567   0.003   2.564   2.278   0.003   0.000   0.000   2.275   48.32   14.10    0.00    2.79    0.00   11.31   1.057   0.001   1.056 
 2023 133    24  18.50  20.70  13.10   3.047   3.640   0.007   3.634   2.110   0.007   0.000   0.000   2.103   51.96   16.21    0.01    2.79    0.00   13.41   0.693   0.002   0.690 
 2023 134    25   4.50  14.90  11.00   0.800   0.947   0.003   0.945   0.841   0.003   0.000   0.000   0.838   52.91   17.05    0.01    2.79    0.00   14.25   1.051   0.003   1.048 
 2023 135    26   5.80  12.80   6.80   0.969   1.151   0.004   1.147   0.729   0.004   0.000   0.000   0.725   54.06   17.78    0.02    2.79    0.00   14.98   0.752   0.004   0.748 
 2023 136    27  25.30  22.30   5.70   3.503   4.224   0.015   4.210   0.489   0.015   0.105   0.000   0.370   58.28   18.27    0.03    2.89    0.00   15.35   0.140   0.004   0.135 
 2023 137    28  23.60  25.40   6.00   3.423   4.135   0.018   4.117   0.482   0.018   0.393   0.000   0.071   62.42   18.75    0.05    3.28    0.00   15.42   0.141   0.005   0.136 
 2023 138    29  16.20  20.90  11.50   2.689   3.220   0.018   3.202   2.848   0.018   0.000   0.000   2.830   65.64   21.60    0.07    3.28    0.00   18.25   1.059   0.007   1.053 
 2023 139    30  26.80  17.90   5.20   3.525   4.247   0.028   4.219   0.572   0.028   0.000   0.000   0.544   69.88   22.17    0.09    3.28    0.00   18.79   0.162   0.008   0.154 
 2023 140    31  26.90  22.20   2.10   3.525   4.263   0.031   4.232   0.508   0.031   0.372   0.000   0.105   74.15   22.68    0.13    3.66    0.00   18.90   0.144   0.009   0.135 
 2023 141    32  23.40  24.70   9.80   3.578   4.316   0.030   4.286   0.513   0.030   0.463   0.000   0.020   78.46   23.19    0.16    4.12    0.00   18.92   0.143   0.008   0.135 
 2023 142    33  22.60  24.50  13.80   3.708   4.449   0.038   4.411   0.535   0.038   0.493   0.000   0.004   82.91   23.73    0.19    4.61    0.00   18.92   0.144   0.010   0.134 
 2023 143    34  22.10  24.10  13.00   3.623   4.343   0.061   4.282   0.544   0.061   0.482   0.000   0.001   87.26   24.27    0.25    5.09    0.00   18.92   0.150   0.017   0.133 
 2023 144    35  23.30  24.20  14.30   3.839   4.597   0.092   4.505   0.600   0.092   0.507   0.000   0.000   91.85   24.87    0.35    5.60    0.00   18.92   0.156   0.024   0.132 
 2023 145    36  21.30  22.30  14.70   3.569   4.247   0.116   4.131   0.581   0.116   0.465   0.000   0.000   96.10   25.45    0.46    6.07    0.00   18.92   0.163   0.032   0.130 
 2023 146    37   6.40  20.80  14.60   1.294   1.526   0.053   1.473   1.360   0.053   0.000   0.000   1.307   97.62   26.81    0.52    6.07    0.00   20.23   1.051   0.041   1.010 
 2023 147    38  24.10  23.50  14.30   3.987   4.753   0.193   4.560   1.964   0.193   0.000   0.000   1.771  102.38   28.78    0.71    6.07    0.00   22.00   0.492   0.048   0.444 
 2023 148    39  20.20  22.50  14.20   3.448   4.083   0.201   3.882   1.693   0.201   0.000   0.000   1.492  106.46   30.47    0.91    6.07    0.00   23.49   0.491   0.058   0.433 
 2023 149    40  23.70  26.70  15.20   4.060   4.862   0.277   4.585   3.167   0.277   0.000   0.000   2.890  111.32   33.64    1.19    6.07    0.00   26.38   0.780   0.068   0.712 
 2023 150    41  27.00  27.40  12.20   4.349   5.249   0.357   4.893   2.054   0.357   0.000   0.000   1.698  116.57   35.69    1.54    6.07    0.00   28.08   0.472   0.082   0.390 
 2023 151    42  27.70  26.10  14.80   4.480   5.396   0.429   4.966   0.989   0.429   0.233   0.000   0.326  121.97   36.68    1.97    6.30    0.00   28.41   0.221   0.096   0.125 
 2023 152    43  16.10  23.70  15.60   2.935   3.487   0.324   3.163   0.681   0.324   0.294   0.000   0.063  125.46   37.36    2.30    6.59    0.00   28.47   0.232   0.110   0.121 
 2023 153    44  15.80  23.30  15.40   2.896   3.427   0.358   3.069   0.703   0.358   0.334   0.000   0.012  128.88   38.06    2.65    6.93    0.00   28.48   0.243   0.123   0.119 
 2023 154    45  14.70  22.60  13.50   2.657   3.151   0.359   2.792   0.673   0.359   0.312   0.000   0.002  132.03   38.74    3.01    7.24    0.00   28.48   0.253   0.135   0.118 
 2023 155    46  29.00  26.40  10.90   4.457   5.407   0.645   4.762   3.472   0.645   0.000   0.000   2.827  137.44   42.21    3.66    7.24    0.00   31.31   0.779   0.145   0.634 
 2023 156    47  27.10  26.90  14.90   4.461   5.373   0.706   4.667   1.249   0.706   0.000   0.000   0.544  142.81   43.46    4.36    7.24    0.00   31.85   0.280   0.158   0.122 
 2023 157    48  27.90  27.40  12.40   4.438   5.382   0.764   4.618   3.614   0.764   0.000   0.000   2.850  148.19   47.07    5.13    7.24    0.00   34.70   0.814   0.172   0.642 
 2023 158    49  28.10  28.40  12.90   4.514   5.483   0.829   4.654   1.377   0.829   0.000   0.000   0.548  153.68   48.45    5.96    7.24    0.00   35.25   0.305   0.184   0.121 
