*N2O emissions output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 04, 2025 03:03:53

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
!              |------------------------------ Cumulative -----------------------------|------------------------------ Daily ----------------------------------|
!               N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO   Denitrification (g[N]/ha) by soil depth (cm):                                   Nitrification (g[N]/ha) by soil depth (cm):                                     N2O flux (g[N]/ha) by soil depth (cm):                                          N2 flux (g[N]/ha) by soil depth (cm):                                           NO flux (g[N]/ha) by soil depth (cm):
!                 kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha     0-5    5-15   15-23   23-31   31-46   46-61   61-91  91-106 106-122 122-183     0-5    5-15   15-23   23-31   31-46   46-61   61-91  91-106 106-122 122-183     0-5    5-15   15-23   23-31   31-46   46-61   61-91  91-106 106-122 122-183     0-5    5-15   15-23   23-31   31-46   46-61   61-91  91-106 106-122 122-183     0-5    5-15   15-23   23-31   31-46   46-61   61-91  91-106 106-122 122-183
@YEAR DOY   DAS   N2OEC    N2EC    NOEC    NDNC    NITC   N2ODC   N2ONC   N2FLC   NOFLC  N2OGED   N2GED   NOGED    NDND   NITRD   N2ODD   N2OND   N2FLD   NOFLD   NDN1D   NDN2D   NDN3D   NDN4D   NDN5D   NDN6D   NDN7D   NDN8D   NDN9D   NDN10   NIT1D   NIT2D   NIT3D   NIT4D   NIT5D   NIT6D   NIT7D   NIT8D   NIT9D   NIT10   N2O1D   N2O2D   N2O3D   N2O4D   N2O5D   N2O6D   N2O7D   N2O8D   N2O9D   N2O10   N2F1D   N2F2D   N2F3D   N2F4D   N2F5D   N2F6D   N2F7D   N2F8D   N2F9D   N2F10   NOF1D   NOF2D   NOF3D   NOF4D   NOF5D   NOF6D   NOF7D   NOF8D   NOF9D   NOF10
 2023 130    21    0.00    0.00    0.00    0.00     3.3   0.000   0.003   0.001   0.010     0.0     0.0     0.1     0.4     227    0.01    0.23    0.35    0.50     0.0     0.1     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     20.     33.     24.     21.     27.     23.     32.      9.      9.     15.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.1     0.0     0.1     0.0     0.0     0.0
 2023 131    22    0.00    0.00    0.00    0.01     3.5   0.000   0.003   0.006   0.010     0.0     0.0     0.0     5.5     200    0.14    0.20    5.40    0.39     0.0     2.2     2.0     1.4     0.0     0.0     0.0     0.0     0.0     0.0     11.     22.     18.     19.     27.     25.     34.      9.      9.     15.     0.0     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.2     1.9     1.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0
 2023 132    23    0.00    0.00    0.00    0.01     3.7   0.000   0.004   0.012   0.010     0.0     0.0     0.0     6.6     202    0.16    0.20    6.47    0.34     0.0     1.8     2.2     2.7     0.0     0.0     0.0     0.0     0.0     0.0     12.     24.     18.     16.     24.     24.     36.     10.      9.     15.     0.0     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.7     2.1     2.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0
 2023 133    24    0.00    0.00    0.00    0.02     3.9   0.000   0.004   0.018   0.011     0.0     0.0     0.0     5.2     199    0.11    0.20    5.05    0.27     0.0     1.2     1.7     2.2     0.0     0.0     0.0     0.0     0.0     0.0     13.     26.     19.     17.     20.     20.     37.     10.      9.     15.     0.0     0.0     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.2     1.6     2.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0
 2023 134    25    0.00    0.00    0.00    0.02     4.1   0.001   0.004   0.023   0.011     0.0     0.1     0.1     6.0     233    0.14    0.23    5.89    0.30     0.0     0.6     1.2     1.9     2.3     0.0     0.0     0.0     0.0     0.0     19.     36.     23.     20.     26.     22.     38.     10.     10.     16.     0.0     0.0     0.0     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.6     1.2     1.8     2.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2023 135    26    0.00    0.00    0.00    0.03     4.3   0.001   0.004   0.029   0.011     0.0     0.2     0.1     5.9     242    0.14    0.24    5.75    0.34     0.1     0.3     0.7     1.3     1.5     2.0     0.0     0.0     0.0     0.0     21.     38.     26.     22.     28.     23.     37.      9.      9.     15.     0.0     0.0     0.0     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.1     0.3     0.7     1.3     1.4     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2023 136    27    0.00    0.00    0.00    0.03     4.6   0.001   0.005   0.033   0.012     0.1     0.3     0.1     3.7     234    0.09    0.23    3.63    0.35     0.0     0.2     0.4     0.8     0.9     1.4     0.0     0.0     0.0     0.0     20.     36.     26.     23.     28.     24.     34.      9.      9.     14.     0.0     0.0     0.0     0.0     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.2     0.4     0.8     0.9     1.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2023 137    28    0.00    0.00    0.00    0.04     4.8   0.001   0.005   0.035   0.012     0.1     0.4     0.1     2.2     235    0.05    0.24    2.10    0.46     0.0     0.1     0.2     0.3     0.4     0.5     0.4     0.3     0.0     0.0     19.     36.     27.     25.     29.     25.     32.      8.      8.     13.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.2     0.3     0.3     0.5     0.4     0.3     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0
 2023 138    29    0.00    0.00    0.00    0.04     5.0   0.001   0.005   0.037   0.013     0.1     0.5     0.1     1.9     240    0.05    0.24    1.88    0.48     0.0     0.1     0.1     0.2     0.2     0.4     0.3     0.3     0.3     0.0     21.     36.     27.     26.     29.     26.     33.      8.      8.     13.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.2     0.2     0.4     0.3     0.3     0.3     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0
 2023 139    30    0.00    0.00    0.00    0.04     5.3   0.001   0.005   0.038   0.013     0.1     0.6     0.1     0.8     237    0.02    0.24    0.74    0.49     0.0     0.0     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.0     20.     35.     27.     26.     29.     26.     32.      8.      8.     13.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.1     0.0     0.0     0.1     0.0     0.1     0.0     0.0     0.0
