*SOIL INORGANIC N BALANCE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  JAN 17, 2025 18:38:41

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
!               |------------------- STATE VARIABLES -------------------|---- ADDED ---|----------------------------- REMOVED TODAY --------------------------|    DAILY     CUMUL
@YEAR DOY  DAS     NO3     NH4   TUREA   TNGAS  FLOODN  ALGFIX  UNFERT   AFERT  AMINER  RIMMOB    RLCH    RLTD    RNUP    RNRO    RAML   N2OED    N2ED    NOED      DBAL      CBAL
 2022 161   41   6.296   1.941   0.000   0.043   0.000   0.000   0.000     0.0  0.4568  0.0000  0.0000  0.0000  0.2680  0.0000  0.0000  0.0003  0.0005  0.0014    0.0000   -0.0000
 2022 162   42   6.484   1.959   0.000   0.044   0.000   0.000   0.000     0.0  0.4598  0.0000  0.0000  0.0000  0.2513  0.0000  0.0000  0.0003  0.0005  0.0014   -0.0000   -0.0000
 2022 163   43   6.721   1.978   0.000   0.045   0.000   0.000   0.000     0.0  0.4868  0.0000  0.0000  0.0000  0.2274  0.0000  0.0000  0.0003  0.0004  0.0015    0.0000   -0.0000
 2022 164   44   6.968   1.994   0.000   0.046   0.000   0.000   0.000     0.0  0.5424  0.0000  0.0000  0.0000  0.2754  0.0000  0.0000  0.0003  0.0004  0.0015    0.0000   -0.0000
 2022 165   45   7.238   1.995   0.000   0.048   0.000   0.000   0.000     0.0  0.6195  0.0000  0.0000  0.0000  0.3445  0.0000  0.0000  0.0003  0.0004  0.0016    0.0000   -0.0000
 2022 166   46   7.452   1.992   0.000   0.050   0.000   0.000   0.000     0.0  0.6292  0.0000  0.0000  0.0000  0.4146  0.0000  0.0000  0.0003  0.0003  0.0017    0.0000    0.0000
 2022 167   47   7.653   1.988   0.000   0.052   0.000   0.000   0.000     0.0  0.6246  0.0000  0.0000  0.0000  0.4220  0.0000  0.0000  0.0003  0.0003  0.0018   -0.0000   -0.0000
 2022 168   48   7.831   1.993   0.000   0.054   0.000   0.000   0.000     0.0  0.5876  0.0000  0.0000  0.0000  0.4012  0.0000  0.0000  0.0003  0.0003  0.0018    0.0000   -0.0000
 2022 169   49   8.057   1.994   0.000   0.055   0.000   0.000   0.000     0.0  0.5919  0.0000  0.0000  0.0000  0.3605  0.0000  0.0000  0.0003  0.0002  0.0019   -0.0000   -0.0000
 2022 170   50   8.325   1.995   0.000   0.057   0.000   0.000   0.000     0.0  0.5751  0.0000  0.0000  0.0000  0.3018  0.0000  0.0000  0.0004  0.0002  0.0019    0.0000   -0.0000
 2022 171   51   8.611   1.986   0.000   0.059   0.000   0.000   0.000     0.0  0.5978  0.0000  0.0000  0.0000  0.3160  0.0000  0.0000  0.0004  0.0002  0.0020   -0.0000   -0.0000
 2022 172   52   8.910   1.965   0.000   0.061   0.000   0.000   0.000     0.0  0.6259  0.0000  0.0000  0.0000  0.3434  0.0000  0.0000  0.0004  0.0002  0.0020   -0.0000   -0.0000
 2022 173   53   9.148   1.954   0.000   0.063   0.000   0.000   0.000     0.0  0.6065  0.0000  0.0000  0.0000  0.3763  0.0000  0.0000  0.0004  0.0002  0.0021   -0.0000   -0.0000
 2022 174   54   9.311   1.959   0.000   0.064   0.000   0.000   0.000     0.0  0.5479  0.0000  0.0000  0.0000  0.3748  0.0000  0.0000  0.0004  0.0001  0.0022   -0.0000   -0.0000
 2022 175   55   9.460   1.965   0.000   0.066   0.000   0.000   0.000     0.0  0.5159  0.0000  0.0000  0.0000  0.3566  0.0000  0.0000  0.0004  0.0001  0.0022   -0.0000   -0.0000
 2022 176   56   9.580   1.973   0.000   0.067   0.000   0.000   0.000     0.0  0.4854  0.0000  0.0000  0.0000  0.3536  0.0000  0.0000  0.0004  0.0001  0.0022   -0.0000   -0.0000
 2022 177   57   9.657   1.981   0.000   0.067   0.000   0.000   0.000     0.0  0.4292  0.0000  0.0000  0.0000  0.3406  0.0000  0.0000  0.0004  0.0001  0.0023    0.0000   -0.0000
 2022 178   58   9.735   1.987   0.000   0.067   0.000   0.000   0.000     0.0  0.4066  0.0000  0.0000  0.0000  0.3203  0.0000  0.0000  0.0004  0.0001  0.0023    0.0000   -0.0000
 2022 179   59   9.817   1.991   0.000   0.067   0.000   0.000   0.000     0.0  0.4054  0.0000  0.0000  0.0000  0.3159  0.0000  0.0000  0.0004  0.0001  0.0023   -0.0000   -0.0000
 2022 180   60   9.885   1.995   0.000   0.067   0.000   0.000   0.000     0.0  0.3858  0.0000  0.0000  0.0000  0.3116  0.0000  0.0000  0.0004  0.0001  0.0024    0.0000   -0.0000
 2022 181   61   9.956   1.999   0.000   0.067   0.000   0.000   0.000     0.0  0.3945  0.0000  0.0000  0.0000  0.3161  0.0000  0.0000  0.0004  0.0001  0.0024    0.0000   -0.0000
 2022 182   62  10.043   2.003   0.000   0.068   0.000   0.000   0.000     0.0  0.4210  0.0000  0.0000  0.0000  0.3273  0.0000  0.0000  0.0004  0.0001  0.0024   -0.0000   -0.0000
 2022 183   63  10.142   2.003   0.000   0.076   0.000   0.000   0.000     0.0  0.4514  0.0000  0.0000  0.0000  0.3402  0.0000  0.0000  0.0004  0.0000  0.0026    0.0000   -0.0000
 2022 184   64   9.944   2.019   0.000   0.085   0.000   0.000   0.000     0.0  0.5274  0.0000  0.0000  0.0000  0.7004  0.0000  0.0000  0.0001  0.0000  0.0004    0.0000    0.0000
 2022 185   65  10.068   2.021   0.000   0.093   0.000   0.000   0.000     0.0  0.5593  0.0000  0.0000  0.0000  0.4253  0.0000  0.0000  0.0001  0.0000  0.0006    0.0000    0.0000
 2022 186   66  10.132   2.016   0.000   0.098   0.000   0.000   0.000     0.0  0.5660  0.0000  0.0000  0.0000  0.4982  0.0000  0.0000  0.0004  0.0000  0.0025   -0.0000   -0.0000
 2022 187   67  10.176   2.029   0.000   0.102   0.000   0.000   0.000     0.0  0.5872  0.0000  0.0000  0.0000  0.5258  0.0000  0.0000  0.0001  0.0000  0.0007    0.0000    0.0000
 2022 188   68  10.246   2.026   0.000   0.105   0.000   0.000   0.000     0.0  0.5990  0.0000  0.0000  0.0000  0.5265  0.0000  0.0000  0.0002  0.0001  0.0014    0.0000    0.0000
 2022 189   69  10.325   2.038   0.000   0.110   0.000   0.000   0.000     0.0  0.6173  0.0000  0.0000  0.0000  0.5219  0.0000  0.0000  0.0001  0.0001  0.0006   -0.0000    0.0000
 2022 190   70  10.432   2.036   0.000   0.111   0.000   0.000   0.000     0.0  0.6276  0.0000  0.0000  0.0000  0.5179  0.0000  0.0000  0.0004  0.0003  0.0023   -0.0000    0.0000
 2022 191   71  10.493   2.038   0.000   0.110   0.000   0.000   0.000     0.0  0.6282  0.0000  0.0000  0.0000  0.5608  0.0000  0.0000  0.0007  0.0005  0.0044    0.0000    0.0000
 2022 192   72  10.543   2.042   0.000   0.109   0.000   0.000   0.000     0.0  0.6301  0.0000  0.0000  0.0000  0.5716  0.0000  0.0000  0.0007  0.0004  0.0044   -0.0000   -0.0000
