*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  FEB 07, 2025 20:08:35

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
!               |------ Daily (g/ha) -----|--- Cumulative (kg/ha) ---|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!                    CO2      N2O      CH4      CO2      N2O      CH4      CO2      N2O      CH4    Total
!                g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   N2OGED   CH4GED    CO2EC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
 2022 217    97     6011     0.60     0.00      440     0.03     0.00     1616       14        0     1630
 2022 218    98     6023     0.60     0.00      446     0.03     0.00     1639       14        0     1653
 2022 219    99     5851     0.59     0.00      452     0.03     0.00     1660       14        0     1674
 2022 220   100     5364     0.57     0.00      458     0.03     0.00     1680       15        0     1694
 2022 221   101     4952     0.56     0.00      463     0.03     0.00     1698       15        0     1713
 2022 222   102     4834     0.56     0.00      467     0.03     0.00     1716       15        0     1731
 2022 223   103     4540     0.55     0.00      472     0.03     0.00     1732       15        0     1748
 2022 224   104     4428     0.55     0.00      476     0.03     0.00     1749       16        0     1764
 2022 225   105     4717     0.54     0.00      481     0.03     0.00     1766       16        0     1782
 2022 226   106     4867     0.53     0.00      486     0.03     0.00     1784       16        0     1800
 2022 227   107     4827     0.52     0.00      491     0.04     0.00     1801       16        0     1818
 2022 228   108     5385     0.29     0.00      496     0.04     0.00     1821       17        0     1838
 2022 229   109     5188     0.41     0.00      501     0.04     0.00     1840       17        0     1857
 2022 230   110     4849     0.54     0.00      506     0.04     0.00     1858       17        0     1875
 2022 231   111     4630     0.53     0.00      511     0.04     0.00     1875       17        0     1892
