*SOIL INORGANIC N BALANCE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 04, 2025 15:47:32

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
!               |------------------- STATE VARIABLES -------------------|---- ADDED ---|----------------------------- REMOVED TODAY --------------------------|    DAILY     CUMUL
@YEAR DOY  DAS     NO3     NH4   TUREA   TNGAS  FLOODN  ALGFIX  UNFERT   AFERT  AMINER  RIMMOB    RLCH    RLTD    RNUP    RNRO    RAML   N2OED    N2ED    NOED      DBAL      CBAL
 2023 241  132  15.435   1.902   0.000   0.121   0.000   0.000   0.000     0.0  0.6384  0.0000  0.0000  0.0000  0.6181  0.0000  0.0000  0.0012  0.0017  0.0018    0.0000    0.0002
 2023 242  133  15.309   1.999   0.000   0.122   0.000   0.000   0.000     0.0  0.5915  0.0000  0.0000  0.0000  0.6195  0.0000  0.0000  0.0003  0.0004  0.0004   -0.0000    0.0002
 2023 243  134  15.382   2.045   0.000   0.121   0.000   0.000   0.000     0.0  0.5754  0.0000  0.0000  0.0000  0.4542  0.0000  0.0000  0.0007  0.0010  0.0012    0.0000    0.0002
 2023 244  135  14.173   2.139   0.000   0.122   0.000   0.000   0.000     0.0  0.6150  0.0000  1.2021  0.0000  0.5260  0.0000  0.0000  0.0003  0.0004  0.0004    0.0000    0.0002
 2023 245  136  14.288   2.140   0.000   0.121   0.000   0.000   0.000     0.0  0.6760  0.0000  0.2916  0.0000  0.2658  0.0000  0.0000  0.0008  0.0010  0.0012   -0.0000    0.0002
 2023 246  137  14.518   2.100   0.000   0.120   0.000   0.000   0.000     0.0  0.7199  0.0000  0.0000  0.0000  0.5277  0.0000  0.0000  0.0011  0.0014  0.0017   -0.0000    0.0002
 2023 247  138  14.671   2.022   0.000   0.119   0.000   0.000   0.000     0.0  0.7572  0.0000  0.0000  0.0000  0.6791  0.0000  0.0000  0.0011  0.0013  0.0018    0.0000    0.0002
 2023 248  139  14.754   1.958   0.000   0.118   0.000   0.000   0.000     0.0  0.7838  0.0000  0.0000  0.0000  0.7615  0.0000  0.0000  0.0010  0.0013  0.0018    0.0000    0.0002
 2023 249  140  13.755   2.055   0.000   0.119   0.000   0.000   0.000     0.0  0.7042  0.0000  0.8109  0.0000  0.7931  0.0000  0.0000  0.0002  0.0003  0.0004    0.0000    0.0002
 2023 250  141  13.695   2.094   0.000   0.119   0.000   0.000   0.000     0.0  0.6321  0.0000  0.2565  0.0000  0.3948  0.0000  0.0000  0.0007  0.0008  0.0011    0.0000    0.0002
 2023 251  142  13.787   2.111   0.000   0.117   0.000   0.000   0.000     0.0  0.5942  0.0000  0.0000  0.0000  0.4829  0.0000  0.0000  0.0009  0.0011  0.0016   -0.0000    0.0002
 2023 252  143  13.806   2.106   0.000   0.116   0.000   0.000   0.000     0.0  0.5446  0.0000  0.0000  0.0000  0.5283  0.0000  0.0000  0.0010  0.0011  0.0017    0.0000    0.0003
 2023 253  144  13.825   2.104   0.000   0.117   0.000   0.000   0.000     0.0  0.5282  0.0000  0.0000  0.0000  0.5066  0.0000  0.0000  0.0010  0.0011  0.0017   -0.0000    0.0002
 2023 254  145  12.939   2.172   0.000   0.120   0.000   0.000   0.000     0.0  0.5354  0.0000  0.8158  0.0000  0.5342  0.0000  0.0000  0.0002  0.0002  0.0003   -0.0000    0.0002
 2023 255  146  12.905   2.193   0.000   0.121   0.000   0.000   0.000     0.0  0.5336  0.0000  0.2699  0.0000  0.2723  0.0000  0.0000  0.0006  0.0006  0.0010    0.0000    0.0002
 2023 256  147  12.994   2.196   0.000   0.120   0.000   0.000   0.000     0.0  0.5067  0.0000  0.0185  0.0000  0.3939  0.0000  0.0000  0.0008  0.0008  0.0015    0.0000    0.0002
 2023 257  148  13.062   2.186   0.000   0.119   0.000   0.000   0.000     0.0  0.4982  0.0000  0.0000  0.0000  0.4376  0.0000  0.0000  0.0009  0.0009  0.0017   -0.0000    0.0002
 2023 258  149  13.086   2.170   0.000   0.118   0.000   0.000   0.000     0.0  0.4688  0.0000  0.0000  0.0000  0.4590  0.0000  0.0000  0.0009  0.0009  0.0017    0.0000    0.0002
 2023 259  150  12.905   2.193   0.000   0.119   0.000   0.000   0.000     0.0  0.4820  0.0000  0.1943  0.0000  0.4442  0.0000  0.0000  0.0002  0.0002  0.0004   -0.0000    0.0002
 2023 260  151  12.989   2.199   0.000   0.119   0.000   0.000   0.000     0.0  0.5063  0.0000  0.0378  0.0000  0.3763  0.0000  0.0000  0.0006  0.0006  0.0012   -0.0000    0.0002
 2023 261  152  13.065   2.191   0.000   0.117   0.000   0.000   0.000     0.0  0.5096  0.0000  0.0000  0.0000  0.4390  0.0000  0.0000  0.0008  0.0008  0.0016    0.0000    0.0002
 2023 262  153  13.145   2.179   0.000   0.116   0.000   0.000   0.000     0.0  0.5353  0.0000  0.0000  0.0000  0.4664  0.0000  0.0000  0.0009  0.0009  0.0019    0.0000    0.0003
 2023 263  154  13.210   2.165   0.000   0.114   0.000   0.000   0.000     0.0  0.5476  0.0000  0.0000  0.0000  0.4935  0.0000  0.0000  0.0009  0.0008  0.0019    0.0000    0.0003
 2023 264  155  13.761   2.171   0.000   0.113   0.000   0.000   0.000     0.0  0.5584  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0007  0.0006  0.0015    0.0000    0.0003
 2023 265  156  14.318   2.167   0.000   0.112   0.000   0.000   0.000     0.0  0.5554  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0009  0.0007  0.0017    0.0000    0.0003
 2023 266  157  14.876   2.158   0.000   0.111   0.000   0.000   0.000     0.0  0.5503  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0009  0.0008  0.0018    0.0000    0.0003
 2023 267  158  15.403   2.150   0.000   0.109   0.000   0.000   0.000     0.0  0.5222  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0009  0.0007  0.0018   -0.0000    0.0003
 2023 268  159  15.908   2.141   0.000   0.108   0.000   0.000   0.000     0.0  0.4979  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0008  0.0007  0.0018   -0.0000    0.0003


!SOIL INORGANIC N BALANCE                         Initial               Final
!                                                Year/Doy            Year/Doy
!                                                2023/110            2023/268
!                                               (kg[N]/ha)          (kg[N]/ha)
! Soil N state variables:
!   Soil NO3                                        14.31               15.91
!   Soil NH4                                         2.38                2.14
!   Soil Urea                                        0.00                0.00
!   Soil N gases                                     0.00                0.11
!   Unreleased fert N                                                    0.00

! N additions:
!   Fertilizer N                                   196.00
!   Mineralized N                                   71.30

! N subtractions:
!   N immobilized                                                        0.00
!   N leached                                                           12.67
!   N loss to tile drainage                                              0.00
!   N Uptake From Soil                                                 252.67
!   NH3 loss                                                             0.00
!   N2O loss                                                             0.13
!   N2 loss                                                              0.14
!   NO loss                                                              0.22

!   Total N balance                                283.99              283.99
!   Balance                                                             0.000
