*SOIL INORGANIC N BALANCE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  MAY 26, 2025 18:07:50

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
!               |------------------- STATE VARIABLES -------------------|---- ADDED ---|----------------------------- REMOVED TODAY --------------------------|    DAILY     CUMUL
@YEAR DOY  DAS     NO3     NH4   TUREA   TNGAS  FLOODN  ALGFIX  UNFERT   AFERT  AMINER  RIMMOB    RLCH    RLTD    RNUP    RNRO    RAML   N2OED    N2ED    NOED      DBAL      CBAL
 2020 149   40  41.024   2.382   0.000   0.411   0.000   0.000   0.000     0.0  0.2560  0.0000  0.1855  0.0000  0.0000  0.0000  0.0009  0.0017  0.0080  0.0012    0.0000   -0.0000
 2020 150   41  41.350   2.256   0.000   0.401   0.000   0.000   0.000     0.0  0.2596  0.0000  0.0546  0.0000  0.0000  0.0000  0.0023  0.0021  0.0101  0.0014   -0.0000   -0.0000
 2020 151   42  41.721   2.150   0.000   0.390   0.000   0.000   0.000     0.0  0.2709  0.0000  0.0000  0.0000  0.0000  0.0000  0.0028  0.0021  0.0104  0.0014   -0.0000   -0.0000
 2020 152   43  42.050   2.059   0.000   0.379   0.000   0.000   0.000     0.0  0.3163  0.0000  0.0000  0.0000  0.0719  0.0000  0.0030  0.0020  0.0106  0.0014    0.0000    0.0000
 2020 153   44  42.458   1.989   0.000   0.368   0.000   0.000   0.000     0.0  0.3614  0.0000  0.0000  0.0000  0.0190  0.0000  0.0008  0.0020  0.0108  0.0014   -0.0000   -0.0000
 2020 154   45  42.646   1.929   0.000   0.357   0.000   0.000   0.000     0.0  0.4187  0.0000  0.0000  0.0000  0.2856  0.0000  0.0026  0.0020  0.0109  0.0014    0.0000   -0.0000
 2020 155   46  42.515   1.856   0.000   0.346   0.000   0.000   0.000     0.0  0.4622  0.0000  0.0000  0.0000  0.6372  0.0000  0.0252  0.0019  0.0109  0.0014    0.0000    0.0000
 2020 156   47  42.240   1.804   0.000   0.335   0.000   0.000   0.000     0.0  0.4846  0.0000  0.0000  0.0000  0.7822  0.0000  0.0259  0.0019  0.0109  0.0014   -0.0000   -0.0000
 2020 157   48  41.976   1.767   0.000   0.324   0.000   0.000   0.000     0.0  0.5062  0.0000  0.0000  0.0000  0.7774  0.0000  0.0261  0.0019  0.0108  0.0014    0.0000   -0.0000
 2020 158   49  41.564   1.741   0.000   0.314   0.000   0.000   0.000     0.0  0.5178  0.0000  0.0000  0.0000  0.9251  0.0000  0.0278  0.0018  0.0107  0.0014   -0.0000   -0.0000
 2020 159   50  41.136   1.727   0.000   0.303   0.000   0.000   0.000     0.0  0.5260  0.0000  0.0000  0.0000  0.9391  0.0000  0.0249  0.0018  0.0106  0.0014    0.0000   -0.0000
 2020 160   51  39.941   1.731   0.000   0.293   0.000   0.000   0.000     0.0  0.5513  0.0000  0.0000  0.0000  1.7301  0.0000  0.0096  0.0017  0.0104  0.0013    0.0000   -0.0000
 2020 161   52  36.653   1.720   0.000   0.284   0.000   0.000   0.000     0.0  0.5689  0.0000  0.0000  0.0000  3.8446  0.0000  0.0194  0.0017  0.0102  0.0013   -0.0000   -0.0000
 2020 162   53  37.149   1.732   0.000   0.274   0.000   0.000   0.000     0.0  0.5206  0.0000  0.0000  0.0000  0.0000  0.0000  0.0096  0.0016  0.0099  0.0013    0.0000    0.0000
 2020 163   54  35.392   1.744   0.000   0.264   0.000   0.000   0.000     0.0  0.4818  0.0000  0.0000  0.0000  2.2147  0.0000  0.0096  0.0016  0.0097  0.0013   -0.0000    0.0000
 2020 164   55  33.917   1.752   0.000   0.254   0.000   0.000   0.000     0.0  0.4270  0.0000  0.0000  0.0000  1.8825  0.0000  0.0096  0.0015  0.0094  0.0013   -0.0000   -0.0000
 2020 165   56  31.818   1.743   0.000   0.245   0.000   0.000   0.000     0.0  0.3866  0.0000  0.0000  0.0000  2.4719  0.0000  0.0199  0.0015  0.0091  0.0013    0.0000   -0.0000
 2020 166   57  29.950   1.752   0.000   0.235   0.000   0.000   0.000     0.0  0.3750  0.0000  0.0000  0.0000  2.2289  0.0000  0.0025  0.0014  0.0088  0.0012   -0.0000   -0.0000
 2020 167   58  27.196   1.766   0.000   0.227   0.000   0.000   0.000     0.0  0.4550  0.0000  0.0000  0.0000  3.1902  0.0000  0.0023  0.0014  0.0085  0.0012    0.0000    0.0000
 2020 168   59  23.749   1.770   0.000   0.218   0.000   0.000   0.000     0.0  0.5193  0.0000  0.0000  0.0000  3.9582  0.0000  0.0024  0.0013  0.0082  0.0012   -0.0000   -0.0000
 2020 169   60  21.885   1.761   0.000   0.210   0.000   0.000   0.000     0.0  0.5693  0.0000  0.0000  0.0000  2.4371  0.0000  0.0024  0.0013  0.0079  0.0012   -0.0000   -0.0000
 2020 170   61  21.427   1.743   0.000   0.203   0.000   0.000   0.000     0.0  0.6050  0.0000  0.0000  0.0000  1.0762  0.0000  0.0023  0.0013  0.0076  0.0012    0.0000   -0.0000
 2020 171   62  21.525   1.735   0.000   0.196   0.000   0.000   0.000     0.0  0.5916  0.0000  0.0000  0.0000  0.4969  0.0000  0.0017  0.0012  0.0073  0.0012   -0.0000   -0.0000
 2020 172   63  21.571   1.744   0.000   0.189   0.000   0.000   0.000     0.0  0.5342  0.0000  0.0000  0.0000  0.4743  0.0000  0.0015  0.0012  0.0070  0.0012    0.0000   -0.0000
 2020 173   64  21.638   1.756   0.000   0.182   0.000   0.000   0.000     0.0  0.4923  0.0000  0.0000  0.0000  0.4113  0.0000  0.0008  0.0011  0.0066  0.0012    0.0000    0.0000
 2020 174   65  21.723   1.763   0.000   0.176   0.000   0.000   0.000     0.0  0.4701  0.0000  0.0000  0.0000  0.3750  0.0000  0.0008  0.0011  0.0063  0.0012    0.0000    0.0000
 2020 175   66  21.780   1.765   0.000   0.169   0.000   0.000   0.000     0.0  0.4232  0.0000  0.0000  0.0000  0.3605  0.0000  0.0016  0.0011  0.0060  0.0012    0.0000    0.0000
 2020 176   67  21.785   1.763   0.000   0.163   0.000   0.000   0.000     0.0  0.4125  0.0000  0.0000  0.0000  0.4071  0.0000  0.0008  0.0010  0.0058  0.0011   -0.0000   -0.0000
 2020 177   68  21.747   1.755   0.000   0.158   0.000   0.000   0.000     0.0  0.4357  0.0000  0.0000  0.0000  0.4786  0.0000  0.0008  0.0010  0.0055  0.0011    0.0000    0.0000
 2020 178   69  21.672   1.739   0.000   0.152   0.000   0.000   0.000     0.0  0.4624  0.0000  0.0000  0.0000  0.5502  0.0000  0.0016  0.0009  0.0052  0.0011   -0.0000   -0.0000
 2020 179   70  21.559   1.720   0.000   0.147   0.000   0.000   0.000     0.0  0.4604  0.0000  0.0000  0.0000  0.5895  0.0000  0.0008  0.0009  0.0050  0.0011    0.0000   -0.0000
 2020 180   71  21.466   1.693   0.000   0.143   0.000   0.000   0.000     0.0  0.4796  0.0000  0.0000  0.0000  0.5963  0.0000  0.0008  0.0009  0.0047  0.0011    0.0000    0.0000
 2020 181   72  21.407   1.654   0.000   0.139   0.000   0.000   0.000     0.0  0.5108  0.0000  0.0000  0.0000  0.6061  0.0000  0.0015  0.0009  0.0045  0.0011    0.0000    0.0000
 2020 182   73  21.346   1.607   0.000   0.135   0.000   0.000   0.000     0.0  0.5278  0.0000  0.0000  0.0000  0.6305  0.0000  0.0018  0.0008  0.0043  0.0011    0.0000    0.0000
 2020 183   74  21.214   1.582   0.000   0.131   0.000   0.000   0.000     0.0  0.4842  0.0000  0.0000  0.0000  0.6377  0.0000  0.0017  0.0008  0.0041  0.0011   -0.0000    0.0000
 2020 184   75  21.114   1.562   0.000   0.127   0.000   0.000   0.000     0.0  0.4562  0.0000  0.0000  0.0000  0.5728  0.0000  0.0017  0.0008  0.0039  0.0011   -0.0000    0.0000
 2020 185   76  21.043   1.541   0.000   0.124   0.000   0.000   0.000     0.0  0.4470  0.0000  0.0000  0.0000  0.5349  0.0000  0.0016  0.0008  0.0037  0.0011    0.0000    0.0000
 2020 186   77  20.977   1.517   0.000   0.120   0.000   0.000   0.000     0.0  0.4309  0.0000  0.0000  0.0000  0.5175  0.0000  0.0019  0.0008  0.0035  0.0011    0.0000    0.0000
 2020 187   78  20.901   1.494   0.000   0.117   0.000   0.000   0.000     0.0  0.4016  0.0000  0.0000  0.0000  0.4960  0.0000  0.0019  0.0007  0.0033  0.0011    0.0000    0.0000
 2020 188   79  20.887   1.464   0.000   0.114   0.000   0.000   0.000     0.0  0.4205  0.0000  0.0000  0.0000  0.4613  0.0000  0.0018  0.0007  0.0032  0.0011    0.0000    0.0000
 2020 189   80  20.872   1.424   0.000   0.111   0.000   0.000   0.000     0.0  0.4387  0.0000  0.0000  0.0000  0.4899  0.0000  0.0019  0.0007  0.0030  0.0011    0.0000    0.0000
 2020 190   81  20.812   1.381   0.000   0.108   0.000   0.000   0.000     0.0  0.4414  0.0000  0.0000  0.0000  0.5395  0.0000  0.0020  0.0007  0.0028  0.0011    0.0000    0.0000
 2020 191   82  20.714   1.340   0.000   0.106   0.000   0.000   0.000     0.0  0.4416  0.0000  0.0000  0.0000  0.5772  0.0000  0.0019  0.0007  0.0027  0.0011   -0.0000    0.0000
 2020 192   83  20.533   1.353   0.000   0.107   0.000   0.000   0.000     0.0  0.4575  0.0000  0.0000  0.0000  0.6225  0.0000  0.0008  0.0002  0.0006  0.0003    0.0000    0.0000
 2020 193   84  20.381   1.358   0.000   0.105   0.000   0.000   0.000     0.0  0.4629  0.0000  0.0000  0.0000  0.6074  0.0000  0.0008  0.0006  0.0021  0.0010    0.0000    0.0000
 2020 194   85  20.219   1.357   0.000   0.103   0.000   0.000   0.000     0.0  0.4438  0.0000  0.0000  0.0000  0.6035  0.0000  0.0012  0.0006  0.0023  0.0011    0.0000    0.0000
 2020 195   86  20.017   1.355   0.000   0.101   0.000   0.000   0.000     0.0  0.4192  0.0000  0.0000  0.0000  0.6192  0.0000  0.0017  0.0006  0.0022  0.0011   -0.0000    0.0000
 2020 196   87  19.734   1.420   0.000   0.101   0.000   0.000   0.000     0.0  0.4399  0.0000  0.0000  0.0000  0.6551  0.0000  0.0019  0.0002  0.0006  0.0003    0.0000    0.0000
