*WATER BALANCE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  MAY 26, 2025 18:07:50

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
@YEAR DOY   DAS    SWTD    FWTD    SNTD   MWTD   IRRD   PRED  RESAD   LFLOD  MEVAP   DRND   ROFD   FROD   ESAD   EPAD   EFAD   TDFD    WBAL   CUMWBAL        TOTS    TOTU    TOTX    TOTT    TOTL
 2020 147    38  512.38    0.00    0.00   0.68   0.00   0.00   0.00    0.00   2.85  27.72   0.00   0.00   0.00   0.03   0.00   0.00   -0.00      0.00      -27.72    0.00   -0.03    0.00    0.00
 2020 148    39  501.91    0.00    0.00   0.13   0.00   0.00   0.00    0.00   0.55  10.42   0.00   0.00   0.01   0.04   0.00   0.00   -0.00      0.00      -10.42    0.00   -0.04    0.00    0.00
 2020 149    40  498.06    0.00    0.00   0.03   0.00   0.00   0.00    0.00   0.11   3.41   0.00   0.00   0.40   0.04   0.00   0.00    0.00      0.00       -3.41    0.00   -0.04    0.00    0.00
 2020 150    41  496.47    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.02   1.00   0.00   0.00   0.54   0.05   0.00   0.00    0.00      0.00       -1.00    0.00   -0.05    0.00    0.00
 2020 151    42  495.85    0.00    0.00   0.76   0.00   0.80   0.00    0.00   0.00   0.00   0.00   0.00   0.57   0.09   0.00   0.00   -0.00      0.00        0.04    0.00   -0.09    0.00    0.00
 2020 152    43  495.73    0.00    0.00   0.15   0.00   0.00   0.00    0.00   0.61   0.00   0.00   0.00   0.00   0.12   0.00   0.00    0.00      0.00        0.00   -0.00   -0.12    0.00    0.00
 2020 153    44  495.09    0.00    0.00   0.03   0.00   0.00   0.00    0.00   0.12   0.00   0.00   0.00   0.46   0.18   0.00   0.00    0.00      0.00        0.00    0.00   -0.18    0.00    0.00
 2020 154    45  494.34    0.00    0.00   0.01   0.00   0.00   0.00    0.00   0.02   0.00   0.00   0.00   0.51   0.24   0.00   0.00   -0.00      0.00        0.00    0.00   -0.24    0.00    0.00
 2020 155    46  493.50    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.53   0.32   0.00   0.00    0.00      0.00        0.00   -0.00   -0.32    0.00    0.00
 2020 156    47  492.57    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.54   0.39   0.00   0.00   -0.00      0.00        0.00   -0.00   -0.39    0.00    0.00
 2020 157    48  491.44    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.59   0.54   0.00   0.00    0.00      0.00        0.00   -0.00   -0.54    0.00    0.00
 2020 158    49  490.43    0.00    0.00   1.24   0.00   1.30   0.00    0.00   0.00   0.00   0.00   0.00   0.50   0.57   0.00   0.00    0.00      0.00        0.06   -0.00   -0.57    0.00    0.00
 2020 159    50  489.56    0.00    0.00   0.24   0.00   0.00   0.00    0.00   1.00   0.00   0.00   0.00   0.00   0.87   0.00   0.00    0.00      0.00        0.00    0.00   -0.87    0.00    0.00
 2020 160    51  488.43    0.00    0.00   2.42   0.00   2.50   0.00    0.00   0.19   0.00   0.00   0.00   0.32   0.94   0.00   0.00   -0.00      0.00        0.12    0.00   -0.94    0.00    0.00
 2020 161    52  488.97    0.00    0.00   3.04   0.00   2.00   0.00    0.00   0.65   0.00   0.00   0.00   0.00   0.19   0.00   0.00    0.00      0.00        0.73    0.00   -0.19    0.00    0.00
 2020 162    53  487.91    0.00    0.00   0.59   0.00   0.00   0.00    0.00   2.46   0.00   0.00   0.00   0.00   1.06   0.00   0.00    0.00      0.00        0.00    0.00   -1.06    0.00    0.00
 2020 163    54  486.78    0.00    0.00   0.11   0.00   0.00   0.00    0.00   0.47   0.00   0.00   0.00   0.00   1.12   0.00   0.00    0.00      0.00        0.00   -0.00   -1.12    0.00    0.00
 2020 164    55  485.13    0.00    0.00   0.02   0.00   0.00   0.00    0.00   0.09   0.00   0.00   0.00   0.34   1.32   0.00   0.00   -0.00      0.00        0.00    0.00   -1.32    0.00    0.00
 2020 165    56  483.18    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.02   0.00   0.00   0.00   0.45   1.50   0.00   0.00    0.00      0.00        0.00    0.00   -1.50    0.00    0.00
 2020 166    57  481.29    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.40   1.49   0.00   0.00    0.00      0.00        0.00    0.00   -1.49    0.00    0.00
 2020 167    58  479.00    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.42   1.87   0.00   0.00    0.00      0.00        0.00    0.00   -1.87    0.00    0.00
 2020 168    59  476.37    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.42   2.21   0.00   0.00   -0.00      0.00        0.00    0.00   -2.21    0.00    0.00
 2020 169    60  473.55    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.39   2.42   0.00   0.00   -0.00      0.00        0.00    0.00   -2.42    0.00    0.00
 2020 170    61  471.46    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.25   1.84   0.00   0.00    0.00      0.00        0.00    0.00   -1.84    0.00    0.00
 2020 171    62  469.81    0.00    0.00   2.19   0.00   2.30   0.00    0.00   0.00   0.00   0.00   0.00   0.19   1.58   0.00   0.00    0.00      0.00        0.11    0.00   -1.58    0.00    0.00
