*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  JAN 23, 2025 23:43:37

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
!               |------ Daily (g/ha) -----|--- Cumulative (kg/ha) ---|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!                    CO2      N2O      CH4      CO2      N2O      CH4      CO2      N2O      CH4    Total
!                g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   N2OGED   CH4GED    CO2EC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
 2022 239   119     7215     0.12     0.00      630     0.01     0.00     2313        4        0     2317
 2022 240   120     7518     0.15     0.00      638     0.01     0.00     2341        4        0     2345
 2022 241   121     7733     0.15     0.00      646     0.01     0.00     2369        4        0     2373
 2022 242   122     7631     0.14     0.00      653     0.01     0.00     2397        4        0     2401
 2022 243   123     7318     0.15     0.00      661     0.01     0.00     2424        4        0     2428
 2022 244   124     7248     0.13     0.00      668     0.01     0.00     2451        4        0     2455
 2022 245   125     7024     0.15     0.00      675     0.01     0.00     2477        4        0     2481
 2022 246   126     6973     0.15     0.00      682     0.01     0.00     2502        4        0     2507
 2022 247   127     6859     0.15     0.00      689     0.01     0.00     2527        4        0     2532
 2022 248   128     6706     0.15     0.00      695     0.01     0.00     2552        4        0     2556
 2022 249   129     6554     0.15     0.00      702     0.01     0.00     2576        5        0     2581
 2022 250   130     6767     0.16     0.00      709     0.01     0.00     2601        5        0     2605
 2022 251   131     6628     0.15     0.00      715     0.01     0.00     2625        5        0     2630
 2022 252   132     7256     0.16     0.00      723     0.01     0.00     2652        5        0     2657
 2022 253   133     7001     0.12     0.00      730     0.01     0.00     2678        5        0     2682
 2022 254   134     6353     0.12     0.00      736     0.01     0.00     2701        5        0     2706
 2022 255   135     5662     0.14     0.00      742     0.01     0.00     2722        5        0     2727
 2022 256   136     5340     0.15     0.00      747     0.01     0.00     2741        5        0     2746
 2022 257   137     4740     0.14     0.00      752     0.01     0.00     2759        5        0     2764
 2022 258   138     5430     0.14     0.00      757     0.01     0.00     2779        5        0     2784
 2022 259   139     6088     0.15     0.00      763     0.01     0.00     2801        5        0     2806
 2022 260   140     6581     0.14     0.00      770     0.01     0.00     2825        5        0     2830
 2022 261   141     6798     0.15     0.00      777     0.01     0.00     2850        5        0     2855
 2022 262   142     6900     0.15     0.00      783     0.01     0.00     2875        5        0     2881
 2022 263   143     6797     0.15     0.00      790     0.01     0.00     2900        5        0     2906
